lambda_angstroms A            Z   ion_stage lower_energy_Ev   lower_statweight  forbidden  lower_level               upper_level               upper_statweight  upper_energy_Ev   upper_has_permitted
           718.5 3.230500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_2De[3/2]                        4.00           20.5809                   1
           630.8 1.356100E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3s_4Pe[3/2]                4.00           22.9793                   1
           630.2 1.089100E+04   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3s_4Pe[5/2]                6.00           22.9990                   1
           616.3 1.631100E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3s_2Pe[3/2]                4.00           23.4415                   1
           555.1 1.371900E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3s_2De[5/2]                6.00           25.6612                   1
           555.1 1.456800E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3s_2De[3/2]                4.00           25.6613                   1
           538.3 1.380700E+10   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s_2p4_2Pe[3/2]                        4.00           26.3583                   1
           489.0 2.256400E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4Fe[3/2]                4.00           28.6771                   1
           488.9 1.341400E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4Fe[5/2]                6.00           28.6838                   1
           488.7 1.006800E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4Fe[7/2]                8.00           28.6934                   1
           486.3 2.525000E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4Pe[5/2]                6.00           28.8217                   1
           486.1 3.010600E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4Pe[3/2]                4.00           28.8308                   1
           485.6 1.173700E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4De[3/2]                4.00           28.8568                   1
           485.6 3.745100E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4De[5/2]                6.00           28.8570                   1
           485.6 9.089600E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_4De[7/2]                8.00           28.8578                   1
           485.5 1.635600E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_2Fe[5/2]                6.00           28.8631                   1
           485.1 2.451400E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_2Fe[7/2]                8.00           28.8833                   1
           484.0 1.873300E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_2Pe[3/2]                4.00           28.9417                   1
           481.7 5.327300E+07   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_2De[3/2]                4.00           29.0622                   1
           481.6 5.019100E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)3d_2De[5/2]                6.00           29.0687                   1
           471.9 1.796500E+05   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4s_4Pe[3/2]                4.00           29.5991                   1
           471.5 3.706800E+03   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4s_4Pe[5/2]                6.00           29.6191                   1
           467.9 4.185200E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(3Pe)4s_2Pe[3/2]                4.00           29.8203                   1
           445.6 2.649400E+09   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2Fe[7/2]                8.00           31.1476                   1
           445.6 1.770500E+08   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2Fe[5/2]                6.00           31.1479                   1
           442.9 5.110900E+06   8         2              3.32            6.0000          0 2s2_2p3_2Do[5/2]          2s2_2p2(1De)3d_2Ge[7/2]                8.00           31.3196                   1
